Location,X co-ordinate,Y co-ordinate,Floor,Section,Keywords
E7 Entrance,1821,505,1,1813,"E7, Enginering 7, Foyer, Door"
E7 South Entrance,2597,383,1,1814,"E7, Engineering 7, C&D, Coffee and Donuts, Door"
Elevators,2017,563,1,1813,Floor
Men's Washroom,2045,709,1,1812,"Washroom, Bathroom, Restroom, Men's Room, Toilet"
Women's Washroom,2045,709,1,1812,"Washroom, Bathroom, Restroom, Women's Room, Lady's Room, Toilet"
Water Fountain,2045,709,1,1812,"Water, Refill, Waterbottle, Drinking, Fountain"
Machine Shop Entrance,2261,883,1,1101D,"Machine Shop, Shop, Workshop, Metal, Machining, Manufacturing, Cutting, Student Shop"
Machine Shop Instructor Room,2257,355,1,1101B,"Instructor, Shop Guys, Machining Question, Help, Metal"
Welding Room,2413,423,1,1101C,"Weld, Metal, MIG, TIG, Grinding"
High Voltage Room,2619,369,1,1107,"High Voltage, HV, Electricity, Power"
Dyno Room,2615,415,1,1106,"Engine, Dyno, Fuel"
Wash Bay,2683,933,1,1102,"Clean, Pull in, Wash, Vehicle"
South Entrance,2789,935,1,1102,"Door, Garage Door, Plaza, E3, Engineering 3"
North Entrance,617,741,1,1817,"Door, Garage Door, Parking Lot B, Bus Station, SDC Vehicle, Truck, Van, RAV4"
Sanding Room,825,885,1,1014,"Sanding, Foam cutting, CNC router, Mould"
Composites Room,731,649,1,1016,"Composites, Carbon Fiber, Layup, Kevlar, Vacuum"
Paint Room,937,637,1,1013,"Paint, Priming, Drying"
Woodshop,2039,419,1,1101,"Wood, Workshop, Cutting"
Open Area,1541,901,1,1001,"Working, Open, Space"
UWFE - Mech Bay,2593,527,1,1104,"Car, Vehicle, Racing, FSAE, Formula, Electric, UWFE, WFE, Best, Mechanical, Metal, Manufacturing, Design Team"
UWFE - Electrical Bay,1293,827,1,1007,"Car, Vehicle, Racing, FSAE, Formula, Electric, UWFE, WFE, Best, Electrical, Circuit, Board, Wiring, Design Team"
UWAFT - Workbay,2611,699,1,1103,"UWAFT, Alternative fuels, Ecocar, Roydan Fraser, Design Team, Manufacturing, GM, General Motors"
UWAFT - Office,1035,693,1,1011,"UWAFT, Alternative fuels, Ecocar, Roydan Fraser, Design Team, Office, GM, General Motors"
Waterloop,991,827,1,1012,"Hyperloop, Design Team, Boring Comapny"
WatDig,991,827,1,1012,"Tunneling, Design Team, Boring Company"
Baja,1141,827,1,1009,"Car, Vehicle, Offraod, FSAE, Rally, Design Team"
Rocketry,1187,691,1,1008,"Rocket, Space, Design Team"
Concrete Canoe,1497,691,1,1004,"Concrete, Canoe, Design Team"
Concrete Tobbagan,1497,691,1,1004,"Concrete, Tobbagan, Design Team"
WARG,1337,695,1,1006,"Drone, Remote, Flying, Design Team"
Robotics,1645,693,1,1003,"Robot, Mars Rover, Design Team"
Midnight Sun,1735,727,1,1002,"Solar, Endurance, Car, Vehicle, Design Team"
Electrium Mobility,1735,727,1,1002,"E-bike, E-scooter, Electric skateboard, Eletrium, Design Team"
Anechoic Chamber,797,431,1,1809,"Research lab, Sound Chamber, Quiet Chamber, Silent"
